UNIT	EXITSn_hourly
R140	140.0
R140	432.0
R140	658.0
R140	600.0
R140	592.0
R141	0.0
R141	380.0
R141	634.0
R141	1493.0
R141	2296.0
R141	2476.0
R142	0.0
R142	516.0
R142	812.0
R142	2382.0
R142	3184.0
R142	2821.0
R143	0.0
R143	293.0
R143	828.0
R143	2005.0
R143	2736.0
R143	2285.0
R144	0.0
R144	181.0
R144	465.0
R144	747.0
R144	1024.0
R144	1150.0
R145	0.0
R145	2.0
R145	3.0
R145	23.0
R145	6.0
R145	3.0
R146	0.0
R146	330.0
R146	394.0
R146	729.0
R146	1177.0
R146	1302.0
R147	0.0
R147	683.0
R147	695.0
R147	1537.0
R147	2373.0
R147	3274.0
R148	0.0
R148	263.0
R148	206.0
R148	361.0
R148	870.0
R148	1058.0
R149	0.0
R149	350.0
R149	289.0
R149	492.0
R149	1181.0
R149	1614.0
R150	0.0
R150	24.0
R150	123.0
R150	290.0
R150	417.0
R150	563.0
R151	0.0
R151	16.0
R151	13.0
R151	723.0
R151	4.0
R151	2.0
R151	610.0
R151	2871.0
R151	4687.0
R152	0.0
R152	190.0
R152	138.0
R152	299.0
R152	401.0
R152	498.0
R153	0.0
R153	600.0
R153	510.0
R153	913.0
R153	1361.0
R153	1808.0
R154	0.0
R154	554.0
R154	398.0
R154	644.0
R154	867.0
R154	1387.0
R155	0.0
R155	445.0
R155	264.0
R155	369.0
R155	589.0
R155	765.0
R156	0.0
R156	230.0
R156	179.0
R156	303.0
R156	572.0
R156	596.0
R157	0.0
R157	434.0
R157	339.0
R157	480.0
R157	883.0
R157	1337.0
R158	0.0
R158	414.0
R158	897.0
R158	814.0
R158	3174.0
R158	2531.0
R159	0.0
R159	133.0
R159	275.0
R159	1074.0
R159	1364.0
R159	838.0
R160	0.0
R160	380.0
R160	436.0
R160	2528.0
R160	3633.0
R160	3297.0
R161	0.0
R161	356.0
R161	342.0
R161	493.0
R161	1076.0
R161	12.0
R161	86.0
R161	968.0
R163	0.0
R163	786.0
R163	274.0
R163	2559.0
R163	4136.0
R163	3269.0
R164	0.0
R164	272.0
R164	951.0
R164	3198.0
R164	3494.0
R164	2426.0
R165	0.0
R165	0.0
R165	0.0
R165	0.0
R165	0.0
R165	0.0
R166	0.0
R166	141.0
R166	377.0
R166	1658.0
R166	2044.0
R166	1419.0
R167	0.0
R167	460.0
R167	692.0
R167	2468.0
R167	3391.0
R167	3069.0
R168	0.0
R168	1406.0
R168	1548.0
R168	4350.0
R168	6459.0
R168	6216.0
R169	0.0
R169	733.0
R169	480.0
R169	1062.0
R169	1879.0
R169	2491.0
R170	0.0
R170	1492.0
R170	3309.0
R170	14693.0
R170	20650.0
R170	13581.0
R171	0.0
R171	271.0
R171	161.0
R171	851.0
R171	1282.0
R171	1362.0
R172	0.0
R172	381.0
R172	66.0
R172	1413.0
R172	1843.0
R172	1760.0
R173	0.0
R173	265.0
R173	202.0
R173	475.0
R173	771.0
R173	923.0
R174	0.0
R174	423.0
R174	234.0
R174	637.0
R174	1309.0
R174	2012.0
R175	0.0
R175	795.0
R175	1406.0
R175	5632.0
R175	6899.0
R175	5141.0
R176	0.0
R176	296.0
R176	876.0
R176	2846.0
R176	4229.0
R176	3729.0
R177	0.0
R177	294.0
R177	1064.0
R177	3243.0
R177	3532.0
R177	2327.0
R178	0.0
R178	604.0
R178	1539.0
R178	4620.0
R178	5788.0
R178	4137.0
R179	0.0
R179	1410.0
R179	1034.0
R179	6705.0
R179	9166.0
R179	8740.0
R180	0.0
R180	537.0
R180	711.0
R180	1420.0
R180	2063.0
R180	2216.0
R181	0.0
R181	730.0
R181	149.0
R181	1136.0
R181	1477.0
R181	1739.0
R182	0.0
R182	488.0
R182	647.0
R182	1975.0
R182	2860.0
R182	1756.0
R183	0.0
R183	232.0
R183	654.0
R183	894.0
R183	968.0
R184	0.0
R184	279.0
R184	404.0
R184	533.0
R184	447.0
R185	0.0
R185	12.0
R185	13.0
R185	21.0
R185	22.0
R185	23.0
R186	0.0
R186	56.0
R186	6.0
R186	5.0
R186	783.0
R186	899.0
R186	103.0
R186	788.0
R187	0.0
R187	28.0
R187	274.0
R187	2257.0
R187	2446.0
R187	1058.0
R188	0.0
R188	603.0
R188	207.0
R188	1272.0
R188	1718.0
R188	2560.0
R189	0.0
R189	537.0
R189	216.0
R189	1096.0
R189	2207.0
R189	2407.0
R190	0.0
R190	196.0
R190	517.0
R190	2033.0
R190	2586.0
R190	2156.0
R191	0.0
R191	213.0
R191	263.0
R191	608.0
R191	1054.0
R191	1231.0
R192	0.0
R192	226.0
R192	324.0
R192	808.0
R192	1248.0
R192	1334.0
R193	0.0
R193	587.0
R193	326.0
R193	540.0
R193	401.0
R193	1367.0
R194	0.0
R194	277.0
R194	1106.0
R194	1840.0
R194	1716.0
R195	0.0
R195	671.0
R195	614.0
R195	4700.0
R195	9251.0
R195	2448.0
R196	0.0
R196	630.0
R196	0.0
R196	1759.0
R196	3464.0
R196	1866.0
R197	0.0
R197	761.0
R197	620.0
R197	978.0
R197	1373.0
R197	1498.0
R198	0.0
R198	776.0
R198	272.0
R198	1298.0
R198	1669.0
R198	1967.0
R199	0.0
R199	636.0
R199	605.0
R199	606.0
R199	860.0
R200	0.0
R200	202.0
R200	11.0
R200	476.0
R200	505.0
R200	523.0
R201	0.0
R201	398.0
R201	499.0
R201	498.0
R201	164.0
R201	216.0
R201	289.0
R201	541.0
R201	3147.0
R201	3226.0
R202	0.0
R202	227.0
R202	11.0
R202	876.0
R202	158.0
R202	37.0
R202	52.0
R202	1209.0
R202	27.0
R202	23.0
R202	22.0
R202	18.0
R202	37.0
R202	77.0
R202	382.0
R203	0.0
R203	275.0
R203	63.0
R203	1234.0
R203	1519.0
R203	1335.0
R204	0.0
R204	604.0
R204	35.0
R204	833.0
R204	961.0
R204	1531.0
R205	0.0
R205	650.0
R205	451.0
R205	1051.0
R205	1414.0
R205	0.0
R205	1395.0
R206	0.0
R206	198.0
R206	263.0
R206	942.0
R206	882.0
R206	809.0
R207	0.0
R207	395.0
R207	0.0
R207	1227.0
R207	744.0
R207	991.0
R208	0.0
R208	1426.0
R208	260.0
R208	1781.0
R208	1988.0
R208	3243.0
R209	0.0
R209	201.0
R209	103.0
R209	233.0
R209	406.0
R209	600.0
R210	0.0
R210	40.0
R210	82.0
R210	98.0
R210	153.0
R211	0.0
R211	661.0
R211	137.0
R211	1503.0
R211	1802.0
R211	2629.0
R212	0.0
R212	547.0
R212	53.0
R212	1062.0
R212	1201.0
R212	1678.0
R213	0.0
R213	243.0
R213	102.0
R213	395.0
R213	630.0
R213	962.0
R214	0.0
R214	164.0
R214	262.0
R214	310.0
R214	474.0
R215	0.0
R215	274.0
R215	24.0
R215	909.0
R215	1153.0
R215	1259.0
R216	0.0
R216	156.0
R216	53.0
R216	296.0
R216	431.0
R216	619.0
R217	0.0
R217	236.0
R217	1265.0
R217	1402.0
R217	1149.0
R218	0.0
R218	109.0
R218	80.0
R218	139.0
R218	276.0
R218	834.0
R219	0.0
R219	173.0
R219	86.0
R219	462.0
R219	684.0
R219	1007.0
R220	0.0
R220	295.0
R220	27.0
R220	662.0
R220	1116.0
R220	970.0
R221	0.0
R221	542.0
R221	851.0
R221	1044.0
R221	1594.0
R222	0.0
R222	977.0
R222	628.0
R222	1171.0
R222	2207.0
R222	2790.0
R223	0.0
R223	903.0
R223	172.0
R223	1021.0
R223	1437.0
R223	2512.0
R224	0.0
R224	268.0
R224	65.0
R224	806.0
R224	1284.0
R224	1493.0
R225	0.0
R225	59.0
R225	5.0
R225	212.0
R225	230.0
R225	235.0
R226	0.0
R226	64.0
R226	58.0
R226	98.0
R226	109.0
R226	191.0
R227	0.0
R227	28.0
R227	18.0
R227	326.0
R227	824.0
R227	460.0
R228	0.0
R228	739.0
R228	775.0
R228	1124.0
R229	0.0
R229	121.0
R229	29.0
R229	368.0
R229	435.0
R229	707.0
R230	0.0
R230	29.0
R230	2.0
R230	50.0
R230	5.0
R230	9.0
R230	5.0
R230	185.0
R230	405.0
R231	0.0
R231	324.0
R231	71.0
R231	702.0
R231	993.0
R231	1019.0
R232	0.0
R232	208.0
R232	69.0
R232	664.0
R232	892.0
R232	1258.0
R233	0.0
R233	244.0
R233	646.0
R233	695.0
R233	851.0
R234	0.0
R234	98.0
R234	309.0
R234	310.0
R234	540.0
R235	0.0
R235	1945.0
R235	34.0
R235	2166.0
R235	5607.0
R235	4731.0
R236	0.0
R236	408.0
R236	587.0
R236	731.0
R236	1173.0
R237	0.0
R237	194.0
R237	244.0
R237	326.0
R237	406.0
R238	0.0
R238	388.0
R238	155.0
R238	914.0
R238	1333.0
R238	1924.0
R239	0.0
R239	180.0
R239	3.0
R239	493.0
R239	604.0
R239	789.0
R240	0.0
R240	488.0
R240	550.0
R240	4850.0
R240	3763.0
R240	2544.0
R241	0.0
R241	202.0
R241	67.0
R241	384.0
R241	774.0
R241	610.0
R242	0.0
R242	144.0
R242	561.0
R242	470.0
R242	838.0
R243	0.0
R243	442.0
R243	137.0
R243	677.0
R243	925.0
R243	1355.0
R244	0.0
R244	276.0
R244	129.0
R244	168.0
R244	526.0
R244	581.0
R244	846.0
R244	455.0
R244	202.0
R246	0.0
R246	20.0
R246	200.0
R246	170.0
R246	139.0
R247	0.0
R247	80.0
R247	228.0
R247	207.0
R247	449.0
R248	0.0
R248	1653.0
R248	3038.0
R248	4103.0
R248	4948.0
R249	0.0
R249	337.0
R249	480.0
R249	615.0
R249	1117.0
R249	1519.0
R250	0.0
R250	418.0
R250	47.0
R250	520.0
R250	684.0
R250	954.0
R251	0.0
R251	95.0
R251	164.0
R251	923.0
R251	1158.0
R251	1202.0
R252	0.0
R252	206.0
R252	77.0
R252	976.0
R252	1395.0
R252	1460.0
R253	0.0
R253	212.0
R253	3.0
R253	349.0
R253	367.0
R253	562.0
R254	0.0
R254	337.0
R254	163.0
R254	558.0
R254	1120.0
R254	1321.0
R255	0.0
R255	141.0
R255	46.0
R255	216.0
R255	296.0
R255	491.0
R256	0.0
R256	202.0
R256	61.0
R256	539.0
R256	573.0
R256	682.0
R257	0.0
R257	304.0
R257	84.0
R257	1189.0
R257	1167.0
R257	1237.0
R258	0.0
R258	653.0
R258	141.0
R258	1265.0
R258	1765.0
R258	1864.0
R259	0.0
R259	284.0
R259	100.0
R259	564.0
R259	1016.0
R259	1299.0
R260	0.0
R260	561.0
R260	241.0
R260	1092.0
R260	1767.0
R260	2314.0
R261	0.0
R261	682.0
R261	1017.0
R261	1157.0
R261	1949.0
R262	0.0
R262	240.0
R262	273.0
R262	341.0
R262	606.0
R263	0.0
R263	158.0
R263	24.0
R263	120.0
R263	203.0
R263	360.0
R264	0.0
R264	72.0
R264	43.0
R264	391.0
R264	448.0
R264	487.0
R265	0.0
R265	690.0
R265	580.0
R265	782.0
R265	1032.0
R266	0.0
R266	501.0
R266	167.0
R266	285.0
R266	415.0
R266	827.0
R267	0.0
R267	262.0
R267	240.0
R267	706.0
R267	951.0
R267	1235.0
R268	0.0
R268	724.0
R268	289.0
R268	902.0
R268	1582.0
R268	2140.0
R269	0.0
R269	294.0
R269	52.0
R269	390.0
R269	483.0
R269	894.0
R270	0.0
R270	265.0
R270	96.0
R270	794.0
R270	1061.0
R270	716.0
R271	0.0
R271	96.0
R271	60.0
R271	180.0
R271	225.0
R271	321.0
R272	0.0
R272	187.0
R272	272.0
R272	805.0
R272	923.0
R272	830.0
R273	0.0
